index;country;country_code;indicator_name;indicator_code;population
0;Aruba;ABW;Population, total;SP.POP.TOTL;103889
1;Afghanistan;AFG;Population, total;SP.POP.TOTL;32526562
2;Angola;AGO;Population, total;SP.POP.TOTL;25021974
3;Albania;ALB;Population, total;SP.POP.TOTL;2889167
4;Andorra;AND;Population, total;SP.POP.TOTL;70473
5;Arab World;ARB;Population, total;SP.POP.TOTL;392168030
6;United Arab Emirates;ARE;Population, total;SP.POP.TOTL;9156963
7;Argentina;ARG;Population, total;SP.POP.TOTL;43416755
8;Armenia;ARM;Population, total;SP.POP.TOTL;3017712
9;American Samoa;ASM;Population, total;SP.POP.TOTL;55538
10;Antigua and Barbuda;ATG;Population, total;SP.POP.TOTL;91818
11;Australia;AUS;Population, total;SP.POP.TOTL;23789752
12;Austria;AUT;Population, total;SP.POP.TOTL;8638366
13;Azerbaijan;AZE;Population, total;SP.POP.TOTL;9649341
14;Burundi;BDI;Population, total;SP.POP.TOTL;11178921
15;Belgium;BEL;Population, total;SP.POP.TOTL;11249420
16;Benin;BEN;Population, total;SP.POP.TOTL;10879829
17;Burkina Faso;BFA;Population, total;SP.POP.TOTL;18105570
18;Bangladesh;BGD;Population, total;SP.POP.TOTL;160995642
19;Bulgaria;BGR;Population, total;SP.POP.TOTL;7177991
20;Bahrain;BHR;Population, total;SP.POP.TOTL;1377237
21;Bahamas, The;BHS;Population, total;SP.POP.TOTL;388019
22;Bosnia and Herzegovina;BIH;Population, total;SP.POP.TOTL;3810416
23;Belarus;BLR;Population, total;SP.POP.TOTL;9489616
24;Belize;BLZ;Population, total;SP.POP.TOTL;359287
25;Bermuda;BMU;Population, total;SP.POP.TOTL;65235
26;Bolivia;BOL;Population, total;SP.POP.TOTL;10724705
27;Brazil;BRA;Population, total;SP.POP.TOTL;207847528
28;Barbados;BRB;Population, total;SP.POP.TOTL;284215
29;Brunei Darussalam;BRN;Population, total;SP.POP.TOTL;423188
30;Bhutan;BTN;Population, total;SP.POP.TOTL;774830
31;Botswana;BWA;Population, total;SP.POP.TOTL;2262485
32;Central African Republic;CAF;Population, total;SP.POP.TOTL;4900274
33;Canada;CAN;Population, total;SP.POP.TOTL;35848610
34;Central Europe and the Baltics;CEB;Population, total;SP.POP.TOTL;103256779
35;Switzerland;CHE;Population, total;SP.POP.TOTL;8281430
36;Channel Islands;CHI;Population, total;SP.POP.TOTL;163692
37;Chile;CHL;Population, total;SP.POP.TOTL;17948141
38;China;CHN;Population, total;SP.POP.TOTL;1371220000
39;Cote d'Ivoire;CIV;Population, total;SP.POP.TOTL;22701556
40;Cameroon;CMR;Population, total;SP.POP.TOTL;23344179
41;Congo, Dem. Rep.;COD;Population, total;SP.POP.TOTL;77266814
42;Congo, Rep.;COG;Population, total;SP.POP.TOTL;4620330
43;Colombia;COL;Population, total;SP.POP.TOTL;48228704
44;Comoros;COM;Population, total;SP.POP.TOTL;788474
45;Cabo Verde;CPV;Population, total;SP.POP.TOTL;520502
46;Costa Rica;CRI;Population, total;SP.POP.TOTL;4807850
47;Caribbean small states;CSS;Population, total;SP.POP.TOTL;7116360
48;Cuba;CUB;Population, total;SP.POP.TOTL;11389562
49;Curacao;CUW;Population, total;SP.POP.TOTL;157979
50;Cayman Islands;CYM;Population, total;SP.POP.TOTL;59967
51;Cyprus;CYP;Population, total;SP.POP.TOTL;1165300
52;Czech Republic;CZE;Population, total;SP.POP.TOTL;10546059
53;Germany;DEU;Population, total;SP.POP.TOTL;81679769
54;Djibouti;DJI;Population, total;SP.POP.TOTL;887861
55;Dominica;DMA;Population, total;SP.POP.TOTL;72680
56;Denmark;DNK;Population, total;SP.POP.TOTL;5683483
57;Dominican Republic;DOM;Population, total;SP.POP.TOTL;10528391
58;Algeria;DZA;Population, total;SP.POP.TOTL;39666519
59;East Asia & Pacific (excluding high income);EAP;Population, total;SP.POP.TOTL;2035078896
60;Early-demographic dividend;EAR;Population, total;SP.POP.TOTL;3122757474
61;East Asia & Pacific;EAS;Population, total;SP.POP.TOTL;2279146555
62;Europe & Central Asia (excluding high income);ECA;Population, total;SP.POP.TOTL;411290566
63;Europe & Central Asia;ECS;Population, total;SP.POP.TOTL;907791157
64;Ecuador;ECU;Population, total;SP.POP.TOTL;16144363
65;Egypt, Arab Rep.;EGY;Population, total;SP.POP.TOTL;91508084
66;Euro area;EMU;Population, total;SP.POP.TOTL;339373830
67;Eritrea;ERI;Population, total;SP.POP.TOTL;
68;Spain;ESP;Population, total;SP.POP.TOTL;46443994
69;Estonia;EST;Population, total;SP.POP.TOTL;1314608
70;Ethiopia;ETH;Population, total;SP.POP.TOTL;99390750
71;European Union;EUU;Population, total;SP.POP.TOTL;509557762
72;Fragile and conflict affected situations;FCS;Population, total;SP.POP.TOTL;485613879
73;Finland;FIN;Population, total;SP.POP.TOTL;5479531
74;Fiji;FJI;Population, total;SP.POP.TOTL;892145
75;France;FRA;Population, total;SP.POP.TOTL;66538391
76;Faroe Islands;FRO;Population, total;SP.POP.TOTL;48199
77;Micronesia, Fed. Sts.;FSM;Population, total;SP.POP.TOTL;104460
78;Gabon;GAB;Population, total;SP.POP.TOTL;1725292
79;United Kingdom;GBR;Population, total;SP.POP.TOTL;65128861
80;Georgia;GEO;Population, total;SP.POP.TOTL;3717100
81;Ghana;GHA;Population, total;SP.POP.TOTL;27409893
82;Gibraltar;GIB;Population, total;SP.POP.TOTL;32217
83;Guinea;GIN;Population, total;SP.POP.TOTL;12608590
84;Gambia, The;GMB;Population, total;SP.POP.TOTL;1990924
85;Guinea-Bissau;GNB;Population, total;SP.POP.TOTL;1844325
86;Equatorial Guinea;GNQ;Population, total;SP.POP.TOTL;845060
87;Greece;GRC;Population, total;SP.POP.TOTL;10820883
88;Grenada;GRD;Population, total;SP.POP.TOTL;106825
89;Greenland;GRL;Population, total;SP.POP.TOTL;56114
90;Guatemala;GTM;Population, total;SP.POP.TOTL;16342897
91;Guam;GUM;Population, total;SP.POP.TOTL;169885
92;Guyana;GUY;Population, total;SP.POP.TOTL;767085
93;High income;HIC;Population, total;SP.POP.TOTL;1187092924
94;Hong Kong SAR, China;HKG;Population, total;SP.POP.TOTL;7305700
95;Honduras;HND;Population, total;SP.POP.TOTL;8075060
96;Heavily indebted poor countries (HIPC);HPC;Population, total;SP.POP.TOTL;721104105
97;Croatia;HRV;Population, total;SP.POP.TOTL;4203604
98;Haiti;HTI;Population, total;SP.POP.TOTL;10711067
99;Hungary;HUN;Population, total;SP.POP.TOTL;9843028
100;IBRD only;IBD;Population, total;SP.POP.TOTL;4524263791
101;IDA & IBRD total;IBT;Population, total;SP.POP.TOTL;6183773503
102;IDA total;IDA;Population, total;SP.POP.TOTL;1659509712
103;IDA blend;IDB;Population, total;SP.POP.TOTL;585708797
104;Indonesia;IDN;Population, total;SP.POP.TOTL;257563815
105;IDA only;IDX;Population, total;SP.POP.TOTL;1073800915
106;Isle of Man;IMN;Population, total;SP.POP.TOTL;87780
107;India;IND;Population, total;SP.POP.TOTL;1311050527
108;Not classified;INX;Population, total;SP.POP.TOTL;
109;Ireland;IRL;Population, total;SP.POP.TOTL;4643740
110;Iran, Islamic Rep.;IRN;Population, total;SP.POP.TOTL;79109272
111;Iraq;IRQ;Population, total;SP.POP.TOTL;36423395
112;Iceland;ISL;Population, total;SP.POP.TOTL;330815
113;Israel;ISR;Population, total;SP.POP.TOTL;8380100
114;Italy;ITA;Population, total;SP.POP.TOTL;60730582
115;Jamaica;JAM;Population, total;SP.POP.TOTL;2793335
116;Jordan;JOR;Population, total;SP.POP.TOTL;7594547
117;Japan;JPN;Population, total;SP.POP.TOTL;126958472
118;Kazakhstan;KAZ;Population, total;SP.POP.TOTL;17544126
119;Kenya;KEN;Population, total;SP.POP.TOTL;46050302
120;Kyrgyz Republic;KGZ;Population, total;SP.POP.TOTL;5956900
121;Cambodia;KHM;Population, total;SP.POP.TOTL;15577899
122;Kiribati;KIR;Population, total;SP.POP.TOTL;112423
123;St. Kitts and Nevis;KNA;Population, total;SP.POP.TOTL;55572
124;Korea, Rep.;KOR;Population, total;SP.POP.TOTL;50617045
